151,0.016605
152,0.020479
153,0.016778
154,0.022867
155,0.016573
156,0.020417
157,0.017519
158,0.017084
159,0.017302
160,0.017704
161,0.020391
162,0.017526
163,0.017243
164,0.018127
165,0.018615
166,0.017509
167,0.020289
168,0.017631
169,0.018213
170,0.017734
171,0.017293
172,0.017471
173,0.019227
174,0.017122
175,0.016999
176,0.017417
177,0.017340
178,0.019983
179,0.020084
180,0.017283
181,0.018417
182,0.016794
183,0.017087
184,0.017458
185,0.017865
186,0.017072
187,0.016923
188,0.016963
189,0.019012
190,0.017025
191,0.016863
192,0.016867
193,0.018006
194,0.018392
195,0.017424
196,0.017601
197,0.017931
198,0.018039
199,0.020398
200,0.018561
201,0.018344
202,0.018039
203,0.018146
204,0.018003
205,0.019611
206,0.017539
207,0.018952
208,0.018229
209,0.017614
210,0.016775
211,0.018239
212,0.017160
213,0.018247
214,0.017692
215,0.018254
216,0.016810
217,0.016741
218,0.016830
219,0.016832
220,0.018591
221,0.016791
222,0.016726
223,0.019914
224,0.016949
225,0.016744
226,0.016495
227,0.016772
228,0.017724
229,0.016742
230,0.018210
231,0.016474
232,0.022854
233,0.016319
234,0.016543
235,0.017873
236,0.019661
237,0.016724
238,0.016593
239,0.017251
240,0.017689
241,0.016440
242,0.016223
243,0.016646
244,0.017810
245,0.016322
246,0.016669
247,0.017935
248,0.016547
249,0.016417
250,0.016640
251,0.016662
252,0.016489
253,0.016364
254,0.016379
255,0.017232
256,0.018229
257,0.020790
258,0.016700
259,0.016774
260,0.017297
261,0.016511
262,0.016487
263,0.016857
264,0.017815
265,0.016460
266,0.016503
267,0.016545
268,0.017562
269,0.019451
270,0.016190
271,0.016350
272,0.017420
273,0.017170
274,0.017992
275,0.020450
276,0.017858
277,0.016416
278,0.016418
279,0.016475
280,0.016746
281,0.016748
282,0.019215
283,0.017387
284,0.016436
285,0.016247
286,0.016838
287,0.017778
288,0.016503
289,0.017235
290,0.017354
291,0.017484
292,0.017134
293,0.016757
294,0.017147
295,0.016647
296,0.019067
297,0.017547
298,0.016953
299,0.016864
300,0.017105
301,0.017474
302,0.016973
303,0.016711
304,0.017151
305,0.017644
306,0.017656
307,0.016806
308,0.016813
309,0.019778
310,0.018663
311,0.017162
312,0.018539
313,0.017352
314,0.018730
315,0.016703
316,0.017339
317,0.017939
318,0.018010
319,0.017277
320,0.016972
321,0.017540
322,0.018186
323,0.017023
324,0.016089
325,0.016467
326,0.017085
327,0.017002
328,0.017255
329,0.020253
330,0.016249
331,0.016830
332,0.017261
333,0.016817
334,0.016570
335,0.018835
336,0.020144
337,0.019589
338,0.017592
339,0.017108
340,0.017036
341,0.020294
342,0.017356
343,0.017083
344,0.017294
345,0.018654
346,0.017224
347,0.020099
348,0.019198
349,0.019037
350,0.017033
351,0.017287
352,0.017013
353,0.018209
354,0.020437
355,0.016665
356,0.017362
357,0.017545
358,0.017922
359,0.016651
360,0.019136
361,0.018405
362,0.017493
363,0.017160
364,0.016474
365,0.017850
366,0.017622
367,0.021399
368,0.017177
369,0.021805
370,0.023933
371,0.017273
372,0.018718
373,0.018394
374,0.016595
375,0.016637
376,0.016453
377,0.017804
378,0.019226
379,0.016587
380,0.022090
381,0.019357
382,0.017418
383,0.017170
384,0.019835
385,0.019154
386,0.018051
387,0.016486
388,0.017122
389,0.017356
390,0.016958
391,0.016888
392,0.016778
393,0.016975
394,0.017118
395,0.019500
396,0.016656
397,0.016952
398,0.016883
399,0.017020
400,0.016729
401,0.016569
402,0.016842
403,0.017020
404,0.017148
405,0.016854
406,0.016490
407,0.016642
408,0.016900
409,0.019216
410,0.016657
411,0.016467
412,0.016738
413,0.016723
414,0.017035
415,0.016399
416,0.016679
417,0.017081
418,0.016943
419,0.018153
420,0.016446
421,0.016554
422,0.016725
423,0.017828
424,0.017268
425,0.016564
426,0.016964
427,0.017514
428,0.020707
429,0.018531
430,0.018459
431,0.018334
432,0.018714
433,0.018550
434,0.018511
435,0.018555
436,0.018732
437,0.020454
438,0.018578
439,0.018821
440,0.018631
441,0.016825
442,0.016635
443,0.016638
